Aaron, R. I => Aaron, R. I
Abbott, T. K. => Abbott, T. K.
Abrahamsen, A. A. => Abrahamsen, Adele A.
Abrahamson, A. => Abrahamsen, Adele A.
Ackermann, D. F. => Ackermann, Diana F.
Adams, E. M => Adams, E. M.
Adams, W. => Adams, W.
Adams-Webber, J. R. => Adams-Webber, J. R.
Adler, J. => Adler, J.
Adolphs, R. => Adolphs, R.
Agre, P. => Agre, Philip
Akeley, L. E. => Akeley, L. E.
Albritton, R. => Albritton, Rogers
Aldridge, V. C. => Aldridge, V. C.
Alexander, H. G => Alexander, H. G
Alexander, S. => Alexander, Samuel
Alfred Hoernle, R. F. => Alfred Hoernle, R. F.
Allemang, D. => Allemang, D.
Allen, A. H. B. => Allen, A. H. B.
Allen, C. => Allen, Colin
Allport, A. => Allport, A.
Alper, G. => Alper, G.
Anderson, D. => Anderson, D.
Anderson, J. R. => Anderson, J. R.
Andriopoulos, D. Z => Andriopoulos, D. Z
Aranyosi, I. => Aranyosi, Istvan
Arbib, M. A. => Arbib, Michael A.
Arcaya, J. M. => Arcaya, J. M.
Arhem, P. => Arhem, P.
Arjo, D. => Arjo, D.
Armstrong, B. => Armstrong, B.
Armstrong, D. => Armstrong, David M.
Arregui, J. V. => Arregui, J. V.
Arstila, V. => Arstila, V.
Arthadeva, B. M => Arthadeva, B. M
Arvidson, P. S. => Arvidson, P. Sven
Asami, K. => Asami, K.
Ashby, W. R => Ashby, William R
Atkinson, A. => Atkinson, Anthony P.
Austin, J. => Austin, John L.
Austin, J. W. => Austin, J. W.
Aveling, F. => Aveling, F.
Avison, M. J. => Avison, M. J.
Bachrach, J. E. => Bachrach, J. E.
Badcock, C. => Badcock, C.
Bailey, A. => Bailey, Andrew
Bain, A. => Bain, A.
Baker, G. P. => Baker, G. P.
Baker, M. J => Baker, M. J
Baldwin, M. => Baldwin, M.
Banks, E. C => Banks, E. C
Banks, W. P. => Banks, William P.
Barkin, E. => Barkin, E.
Barkow, J. => Barkow, J.
Barnard, H. => Barnard, H.
Barnes, E. => Barnes, E.
Barnes, G. => Barnes, G.
Barnes, W. H F. => Barnes, W. H F.
Barnette, R. L => Barnette, R. L
Baron-Cohen, S. => Baron-Cohen, Simon
Bar-on, D. => Bar-on, Dorit
Barrett, H. C => Barrett, H. C
Barrett, H. C. => Barrett, H. C.
Bateman, J. V => Bateman, J. V
Bateson, P. P. G. => Bateson, P. P. G.
Bayne, S. R. => Bayne, S. R.
Beahrs, J. O. => Beahrs, J. O.
Beauregard, M. => Beauregard, M.
Beavers, A. F. => Beavers, Anthony F.
Beckerman, A. => Beckerman, Ansgar
Beck, S. => Beck, S.
Beer, C. G. => Beer, C. G.
Beer, R. => Beer, Randall
Bello, P. => Bello, P.
Benejam, A. => Benejam, A.
Benjamin, B. S => Benjamin, B. S
Benner, D. G. => Benner, D. G.
Bennett, J. => Bennett, Jonathan
Bennett, L. J. => Bennett, L. J.
Bennett, M. R => Bennett, M. R
Benn, S. => Benn, S.
Benson, S. => Benson, S.
Benstein, M. => Benstein, M.
Bentall, R. => Bentall, R.
Ben-ze'ev, A. => Ben-ze'ev, Aaron
Berenda, C. W. => Berenda, C. W.
Bergadano, F. => Bergadano, F.
Berger, G. => Berger, G.
Berg, J. => Berg, J.
Bergstrom, C. => Bergstrom, C.
Bergstrom, R. M => Bergstrom, R. M
Berkeley, I. S. N. => Berkeley, Istvan S. N.
Bernstein, R. => Bernstein, R.
Berntsen, J. => Berntsen, J.
Beroukhim, E. => Beroukhim, E.
Berrios, G. => Berrios, G.
Bertocci, P. A. => Bertocci, P. A.
Bickhard, M. => Bickhard, Mark H.
Bigelow, J. => Bigelow, John C.
Birnbaum, L. => Birnbaum, L.
Biro, J. I. => Biro, John I.
